mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
588694e59b10,1718436975.0311177,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(151+71j),(103+18j),(45-25j),(-89-89j),(-232-82j),(-368-28j),(-465+59j),(-502+183j),(-503+273j),(-464+352j),(-364+396j),(-239+377j),(-97+312j),(27+186j),(147+15j),(221-191j),(258-420j),(227-633j),(188-809j),(101-947j),(-27-1029j),(-168-1031j),(-252-962j),(-348-811j),(-378-601j),(-360-333j),(-244-116j),(-39+11j),(8+1j),(-138+145j),(-133+461j),(-34+699j),(134+846j),(309+947j),(432+954j),(579+926j),(638+844j),(716+703j),(743+539j),(741+317j),(688+110j),(577-100j),(427-280j),(242-410j),(55-496j),(-132-505j),(-281-478j),(-395-416j),(-485-308j),(-540-150j),(-523-20j),(-460+126j),(-343+263j),(-198+342j),(-10+366j),(96+334j),(10245+0j),(-8960-32640j),(128+0j),(-635-1060j)
588694e59b10,1718436975.504479,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-138+544j),(-35+561j),(55+554j),(143+517j),(196+452j),(218+346j),(204+235j),(174+89j),(115-53j),(67-207j),(5-366j),(-40-508j),(-98-629j),(-119-722j),(-121-765j),(-125-772j),(-99-716j),(-97-610j),(-75-452j),(-64-271j),(-76-41j),(-79+202j),(-111+429j),(-111+656j),(-96+840j),(-13+926j),(127+881j),(254+546j),(8+1j),(-549-200j),(-800-23j),(-776+104j),(-661+143j),(-459+156j),(-276+143j),(-67+148j),(117+164j),(302+176j),(460+218j),(599+235j),(691+250j),(755+242j),(762+223j),(765+174j),(706+111j),(638+23j),(556-55j),(472-136j),(387-226j),(286-327j),(191-401j),(103-467j),(-21-509j),(-127-522j),(-258-486j),(-346-418j),(10249+0j),(-9216-32640j),(128+0j),(-635-1060j)
588694e59b10,1718436976.541377,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(542+256j),(560+127j),(544+10j),(507-145j),(402-244j),(266-291j),(123-268j),(-13-189j),(-128-60j),(-209+99j),(-249+289j),(-240+459j),(-180+610j),(-106+723j),(-3+771j),(101+770j),(178+691j),(226+548j),(230+378j),(183+177j),(77-47j),(-86-237j),(-267-399j),(-501-488j),(-718-491j),(-882-325j),(-895-70j),(-572+198j),(8+1j),(120-579j),(-202-767j),(-406-670j),(-437-498j),(-392-277j),(-279-95j),(-124+52j),(40+175j),(221+254j),(390+305j),(558+299j),(690+247j),(776+142j),(803+26j),(780-97j),(702-231j),(555-346j),(408-411j),(233-454j),(57-459j),(-138-419j),(-290-336j),(-408-218j),(-494-40j),(-515+131j),(-515+131j),(-359+450j),(10249+0j),(-9216-32640j),(128+0j),(-635-1060j)
588694e59b10,1718436976.7069385,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(95+66j),(65+23j),(16-12j),(-107-45j),(-229-22j),(-337+22j),(-429+81j),(-472+151j),(-499+203j),(-481+252j),(-412+274j),(-316+258j),(-189+230j),(-47+151j),(98+44j),(256-68j),(406-209j),(532-347j),(635-461j),(699-572j),(695-666j),(675-718j),(605-707j),(489-665j),(347-568j),(163-425j),(36-237j),(-3-28j),(8+1j),(-175-96j),(-465-47j),(-675+41j),(-830+154j),(-918+270j),(-958+328j),(-975+394j),(-923+414j),(-851+449j),(-735+477j),(-573+502j),(-396+508j),(-202+483j),(-21+438j),(141+372j),(296+306j),(404+210j),(481+129j),(519+49j),(532-42j),(503-148j),(441-224j),(350-296j),(222-360j),(83-380j),(-73-351j),(-156-290j),(10249+0j),(-8960-32640j),(128+0j),(-635-1060j)
588694e59b10,1718436977.5485668,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-109+77j),(-56+77j),(6+59j),(132-25j),(211-142j),(265-269j),(285-388j),(256-482j),(226-541j),(176-560j),(105-526j),(35-441j),(-35-319j),(-91-160j),(-144+29j),(-181+238j),(-206+458j),(-208+653j),(-212+815j),(-197+944j),(-135+1023j),(-74+1038j),(-32+988j),(36+874j),(83+697j),(132+459j),(122+217j),(25+18j),(8+1j),(211-15j),(443-216j),(589-413j),(667-594j),(678-748j),(674-824j),(658-870j),(598-877j),(527-857j),(420-804j),(268-739j),(111-659j),(-53-545j),(-205-414j),(-332-276j),(-434-144j),(-495-3j),(-522+103j),(-520+200j),(-488+284j),(-408+374j),(-318+416j),(-206+432j),(-69+439j),(65+406j),(208+314j),(250+231j),(10245+0j),(-8960-32640j),(128+0j),(-635-1060j)
588694e59b10,1718436978.0407417,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-110-83j),(-93-33j),(-54+15j),(69+88j),(207+105j),(332+93j),(454+62j),(524-6j),(560-73j),(553-125j),(491-169j),(388-183j),(248-191j),(81-159j),(-104-107j),(-301-40j),(-490+48j),(-670+152j),(-798+238j),(-901+315j),(-922+411j),(-909+470j),(-819+488j),(-690+478j),(-517+434j),(-286+349j),(-95+205j),(12+19j),(8+1j),(125+179j),(425+267j),(663+271j),(866+230j),(988+151j),(1044+100j),(1079+55j),(1029+1j),(979-55j),(884-123j),(748-212j),(583-295j),(402-365j),(214-411j),(39-442j),(-131-449j),(-278-419j),(-379-378j),(-455-320j),(-505-236j),(-528-123j),(-504-23j),(-461+86j),(-375+203j),(-264+291j),(-100+348j),329j,(10245+0j),(-8960-32640j),(128+0j),(-635-1060j)
588694e59b10,1718436978.5182426,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(196+129j),(128+44j),(38-15j),(-77-104j),(-219-123j),(-356-97j),(-465-36j),(-523+61j),(-547+154j),(-520+233j),(-427+286j),(-307+291j),(-148+265j),(6+176j),(168+47j),(308-120j),(418-316j),(473-516j),(498-685j),(481-835j),(382-952j),(276-989j),(159-947j),(35-843j),(-69-657j),(-147-418j),(-137-173j),(-12+10j),(8+1j),(-220+61j),(-393+341j),(-430+602j),(-388+816j),(-282+991j),(-175+1064j),(-87+1096j),(32+1054j),(135+974j),(236+861j),(343+690j),(423+497j),(451+277j),(441+56j),(400-138j),(326-314j),(205-449j),(98-520j),(-18-553j),(-142-543j),(-268-481j),(-353-384j),(-410-258j),(-435-95j),(-406+65j),(-306+230j),(-230+329j),(10245+0j),(-8960-32640j),(128+0j),(-635-1060j)
588694e59b10,1718436979.5215209,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-288-362j),(-408-304j),(-498-192j),(-522-31j),(-444+105j),(-332+191j),(-187+203j),(-34+162j),(92+65j),(198-81j),(254-247j),(248-423j),(200-582j),(109-691j),(-9-737j),(-124-722j),(-209-644j),(-259-501j),(-263-333j),(-202-130j),(-75+77j),(108+233j),(331+349j),(576+366j),(790+292j),(918+72j),(846-214j),(452-370j),(8+1j),(119+557j),(500+580j),(664+399j),(619+198j),(490+14j),(297-102j),(92-157j),(-118-174j),(-306-129j),(-467-53j),(-596+71j),(-656+215j),(-648+369j),(-571+500j),(-449+587j),(-289+642j),(-83+621j),(89+560j),(242+443j),(373+298j),(461+102j),(472-75j),(429-264j),(320-434j),(159-550j),(-72-574j),(-224-491j),(10245+0j),(-9472-32640j),(128+0j),(-635-1060j)
588694e59b10,1718436980.557275,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-184+147j),(-83+125j),(3+73j),(111-40j),(160-179j),(169-326j),(133-446j),(52-529j),(-32-571j),(-98-564j),(-163-502j),(-163-502j),(-200-238j),(-164-73j),(-101+115j),(-6+306j),(131+490j),(284+627j),(420+740j),(542+799j),(669+798j),(755+728j),(762+633j),(728+488j),(621+318j),(459+128j),(245-4j),(23-21j),(8+1j),(81-197j),(-16-492j),(-173-706j),(-347-821j),(-516-885j),(-627-868j),(-711-830j),(-747-753j),(-770-635j),(-751-498j),(-723-323j),(-651-137j),(-556+54j),(-420+228j),(-268+360j),(-116+469j),(42+513j),(180+522j),(287+491j),(382+425j),(459+317j),(479+208j),(477+84j),(435-63j),(350-190j),(207-306j),(88-349j),(10245+0j),(-8960-32640j),(1408+0j),(-635-1060j)
588694e59b10,1718436981.0441837,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-120+552j),(75+539j),(233+461j),(375+339j),(411+172j),(373+14j),(253-90j),(94-126j),(-75-88j),(-221+18j),(-320+185j),(-346+369j),(-295+553j),(-188+688j),(-47+754j),(109+744j),(234+651j),(301+481j),(306+294j),(208+101j),(26-75j),(-209-157j),(-471-165j),(-706-48j),(-850+165j),(-835+464j),(-581+687j),(-114+597j),(8+1j),(-498-313j),(-786-16j),(-750+273j),(-526+397j),(-278+414j),(-57+307j),(113+126j),(206-70j),(215-288j),(170-474j),(38-644j),(-134-725j),(-331-720j),(-505-630j),(-629-457j),(-699-244j),(-647-7j),(-556+201j),(-384+354j),(-174+451j),(65+466j),(266+391j),(429+251j),(530+41j),(522-184j),(387-406j),(209-532j),(10249+0j),(-9216-32640j),(128+0j),(-635-1060j)
